intent,web_ref,title,price,suburb,city,property_type,beds,baths,availability,deposit,lease_period,address,agent,phones,whatsapp_links,exclude_tags,url
rent,AP24087,4 Bedroom House To Let in Waterkloof Ridge,"R25,000 pm",Waterkloof Ridge,Pretoria,House,4,3,01 May 2026,"R25,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof-ridge/house/3148429/
rent,AP22839,2 Bedroom House To Let in Waterkloof,"R26,000 pm",Waterkloof,Pretoria,House,2,2,01 Jun 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/house/2263866/
rent,AP10846,1 Bedroom Apartment To Let in Hatfield,"R8,000 pm",Hatfield,Pretoria,Apartment,1,1,Immediately,"R8,000",12 months,"0512 Duncan Court, 1226 Park Street, Hatfield, Pretoria",Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/858089/0512-duncan-court-1226-park-street/
rent,AP19344,2 Bedroom Apartment To Let in Hatfield,"R10,300 pm",Hatfield,Pretoria,Apartment,2,2,Immediately,"R10,300",12 months,"0310 Duncan Court, 1236 Park Street, Hatfield, Pretoria",Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/858250/0310-duncan-court-1236-park-street/
rent,AP24052,"85,620m2 Smallholding To Let in Mooiplaats AH","R54,900 pm",Mooiplaats Ah,Pretoria,Smallholding,3,1.5,Negotiable,"R65,000",12 months,"1205 Rooireier str, Mooiplaats AH, Pretoria",Koos Smit,082 555 4776; 012 348 0123,[082 555 4776](https://wa.me/27825554776),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/mooiplaats-ah/smallholding/3136080/1205-rooireier-str/
rent,AP21033,1 Bedroom Apartment To Let in Hatfield,"R8,000 pm",Hatfield,Pretoria,Apartment,1,1,Immediately,"R8,000",12 months,"C008 Duncan Court, 1226 Park STreet, Hatfield, Pretoria",Rita Fitzgerald,083 228 9633; 012 348 0123,[083 228 9633](https://wa.me/27832289633),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/hatfield/apartment/1079187/c008-duncan-court-1226-park-street/
rent,AP18116,2 Bedroom Apartment To Let in Brooklyn,"R19,000 pm",Brooklyn,Pretoria,Apartment,2,2,01 Feb 2025,"R19,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/brooklyn/apartment/845590/
rent,AP20910,5 Bedroom Freestanding To Let in Cornwall Hill,"R55,000 pm",Cornwall Hill,Centurion,Freestanding,5,4.5,01 Jun 2026,"R55,000",12 months,,Melanie Burrell,082 653 5568; 012 940 0099,[082 653 5568](https://wa.me/27826535568),,https://www.appleproperty.co.za/results/residential/to-let/centurion/cornwall-hill/freestanding/1046890/
rent,AP24023,2 Bedroom Apartment To Let in Waterkloof Ridge,"R13,000 pm",Waterkloof Ridge,Pretoria,Apartment,2,2,Immediately,"R13,000",12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),retirement,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof-ridge/apartment/3119658/
rent,AP23648,2 Bedroom Apartment To Let in Brooklyn,"R14,000 pm",Brooklyn,Pretoria,Apartment,2,2,Immediately,"R14,000",12 months,,Sandy Lunt,0823222322; 012 348 0123,[0823222322](https://wa.me/27823222322),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/brooklyn/apartment/2947424/
rent,AP24005,2 Bedroom Apartment To Let in Menlyn,"R24,500 pm",Menlyn,Pretoria,Apartment,2,1,Immediately,,12 months,,Andre Sciocatti,082 930 7386; 012 348 0123,[082 930 7386](https://wa.me/27829307386),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/menlyn/apartment/3113979/
rent,AP24030,1 Bedroom Garden Cottage To Let in Monument Park,"R9,000 pm",Monument Park,Pretoria,Garden Cottage,1,1,Immediately,"R9,000",12 months,,Rina Verryne,083 269 0085; 012 348 0123,[083 269 0085](https://wa.me/27832690085),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/monument-park/garden-cottage/3124412/
rent,AP22654,2 Bedroom Retirement Unit To Let in Equestria,"R7,700 pm",Equestria,Pretoria,Retirement Unit,2,1,Immediately,"R7,700",12 months,,Hannelize Wilken,084 580 8700; 012 348 0123,[084 580 8700](https://wa.me/27845808700),retirement; assisted-living,https://www.appleproperty.co.za/results/residential/to-let/pretoria/equestria/retirement-unit/1846790/
rent,AP23824,3 Bedroom Apartment To Let in Waterkloof,"R23,000 pm",Waterkloof,Pretoria,Apartment,3,2,01 Feb 2026,,12 months,,Vivienne Doeg,082 301 6767; 012 348 0123,[082 301 6767](https://wa.me/27823016767),,https://www.appleproperty.co.za/results/residential/to-let/pretoria/waterkloof/apartment/3023496/
